
case                : account_from_main
launch_ms           : -1
chart_ui_applied_ms : -1
total_frames        : 24
janky_frames        : 6
janky_pct           : 25
p90_ms              : 150
p95_ms              : 250
slow_ui_thread      : 3
slow_draw_cmd       : 2

case                : chart_from_account
launch_ms           : 314
chart_ui_applied_ms : 770
total_frames        : 15
janky_frames        : 7
janky_pct           : 46.67
p90_ms              : 97
p95_ms              : 150
slow_ui_thread      : 4
slow_draw_cmd       : 3

case                : settings_from_chart
launch_ms           : 47
chart_ui_applied_ms : -1
total_frames        : 16
janky_frames        : 2
janky_pct           : 12.5
p90_ms              : 14
p95_ms              : 18
slow_ui_thread      : 2
slow_draw_cmd       : 1

case                : account_from_settings
launch_ms           : -1
chart_ui_applied_ms : -1
total_frames        : 21
janky_frames        : 6
janky_pct           : 28.57
p90_ms              : 73
p95_ms              : 129
slow_ui_thread      : 3
slow_draw_cmd       : 3

